category,stage,reason,count,unit,denominator,pct_of_denominator,fields_responsible,evidence_basis,examples_sanitized,notes
provider_acquisition,acquisition,rows billed that were already held (re-bought),435,rows billed,4735,9.2%,id,page_receipts vs unique postings,discovery_v1 (industry/agency filters only) overlaps priority_v1 (adds FULL_TIME/headcount/taxonomy filters) on the same date_created windows,"Core path, all runs to 2026-09-18T19:51Z: 4,735 rows billed -> 4,300 unique postings"
provider_acquisition,acquisition,legacy run 20260905T030439Z: rows billed already acquired by earlier runs,200,rows billed,200,100.0%,id,run summary cross_query_duplicates,,Legacy repeated 7d window; see run_evidence.csv
provider_acquisition,acquisition,legacy run 20260906T030230Z: rows billed already acquired by earlier runs,5218,rows billed,5444,95.8%,id,run summary cross_query_duplicates,,Legacy repeated 7d window; see run_evidence.csv
provider_acquisition,acquisition,legacy run 20260907T062915Z: rows billed already acquired by earlier runs,172,rows billed,500,34.4%,id,run summary cross_query_duplicates,,Legacy repeated 7d window; see run_evidence.csv
provider_acquisition,acquisition,legacy run 20260908T030247Z: rows billed already acquired by earlier runs,4505,rows billed,5144,87.6%,id,run summary cross_query_duplicates,,Legacy repeated 7d window; see run_evidence.csv
provider_acquisition,acquisition,request rejected HTTP 400 (include_basic_organization_details sent to /v1/active-jb),1,requests,52,1.9%,request parameters,request_attempts,,First core request on 2026-09-16; the endpoint contract was fixed afterwards
provider_acquisition,classification,ai_employment_type lists FULL_TIME plus a non-full-time label,41,postings,4300,1.0%,ai_employment_type,provider label,"Meat Cutter @ FOOD GIANT SUPERMARKETS INC ai_employment_type=['FULL_TIME', 'PART_TIME'] || Intern - Environmental Specialist @ Ashland Foundry & Machine Works LLC ai_employment_type=['FULL_TIME', 'TEMPORARY', 'INTERN'] || Key Holder @ Comoto ai_employment_type=['PART_TIME', 'FULL_TIME'] || Host / Hostess @ Thrive Restaurant Group ai_employment_type=['FULL_TIME', 'PART_TIME'] || Carside @ Thrive Restaurant Group ai_employment_type=['FULL_TIME', 'PART_TIME']","Would match an ai_employment_type=FULL_TIME filter by overlap, yet TGTC excludes it; split {'employment:part_time': 25, 'employment:internship': 13, 'employment:temporary': 3}"
provider_acquisition,classification,provider INTERN/VOLUNTEER label on a title with no program wording,12,postings,4300,0.3%,ai_employment_type vs title,provider label,Material Handler I (Sit Down Forklift) 12-Hour Days (7am-7pm @ ProAmpac ai_employment_type=['INTERN'] || Mechanical Lab Technician (MA) @ U.S. Tsubaki Automotive ai_employment_type=['INTERN'] || General Inspector - 2nd Shift @ U.S. Tsubaki Automotive ai_employment_type=['INTERN'] || Die Repairer - 2nd Shift @ U.S. Tsubaki Automotive ai_employment_type=['INTERN'] || Metal Finisher - 24/7 Nights @ U.S. Tsubaki Automotive ai_employment_type=['INTERN'],Possible provider mislabel; TGTC trusts the label
provider_acquisition,company_qualification,org_linkedin_headcount contradicts org_linkedin_size band,13,opportunities,141,9.2%,org_linkedin_headcount vs org_linkedin_size,provider organization fields,"First Mid Bank & Trust: headcount=1020 band='501-1,000 employees' -> employer_too_large || First Mid Bank & Trust: headcount=1020 band='501-1,000 employees' -> employer_too_large || AWC, Inc.: headcount=1135 band='501-1,000 employees' -> employer_too_large || VERISIGN: headcount=1225 band='501-1,000 employees' -> employer_too_large || NASCO: headcount=1463 band='201-500 employees' -> employer_too_large",Denominator = size-rejected opportunities; TGTC uses the numeric headcount
provider_acquisition,classification,location_type=TELECOMMUTE (informational; not a rejection),129,postings,4300,3.0%,location_type; remote_derived was null on all rows,provider field,,Work arrangement is recorded as data only; it never rejects a job in the current path
provider_acquisition,identity,"organization field names the job publisher, not the hiring employer (known case)",1,postings,50,2.0%,organization / org_linkedin_* on a job-board posting,manual review,Junior Accountant- Accounts Payable Specialist: provider organization Tennessee Valley Public Power Association (publisher jobline); description names Volunteer Energy Cooperative as employer,From the 50-posting audit of 2026-09-16 (rebuild/YIELD_AUDIT_20260916.md)
tgtc_business_rule,classification (job level),insufficient_evidence:semantic_low_confidence_or_no_function,1327,postings,4300,30.9%,description_text (+ title as context to the classifier),model reading of responsibilities,Nurse Practitioner Primary Care || Patient Service Representative I || ForeverLawn Synthetic Turf Technician || Quality Lab Operator - 1st Shift || Floater/Fill In Custodian,"1,319 of 1,327: the classifier found no responsibilities matching any TGTC function; 8 low confidence"
tgtc_business_rule,classification (job level),deliverability:physical_facility,468,postings,4300,10.9%,description_text,job text pattern (lifting/forklift/patient care/lab-warehouse),"Logistics Center Technician @ MCPC: ""May operate dolly, pallet jack, cardboard crusher and/or forklift in loading and unloading supplies and equipment."" || CDL Delivery Driver @ Nutrien: ""unloading trailer of bulk chemical and fertilizer at the facility, safely and efficiently by using forklift or hand truc"" || Human Resources Coordinator @ Gusmer Enterprises: ""Provides front desk support by greeting visitors, managing calls, handling mail, and maintaining office supplies."" || Production Assembler I @ General Dynamics Ordnance and Tactical Systems: ""Must be able to lift up to 45 pounds."" || Warehouse Associate I (Forklift Experience Required) @ ProAmpac: ""Warehouse Associate I (Forklift Experience Required).""",
tgtc_business_rule,classification (job level),employment:part_time,338,postings,4300,7.9%,ai_employment_type (provider) or description_text,provider label or job text,"Marketing Intern @ Jet Set Travel co: ""Bonus: personal interest in travel or an existing social presence Details Flexible, remote, part-time hours — great for "" || Member Services Representative Weekend - Evening @ Planet Fitness: ""provider employment_type=['PART_TIME']; raw_employment_type='{PART_TIME}'"" || Customer Service Representative (Remote) @ Sight Sea Travel: ""provider employment_type=['PART_TIME']; raw_employment_type='{PART_TIME}'"" || Kids Club Team Member @ Chuze Fitness: ""provider employment_type=['PART_TIME']; raw_employment_type='{PART_TIME}'"" || Instructional Assistant - Mild/Moderate @ William S. Hart Union High School District: ""provider employment_type=['PART_TIME']; raw_employment_type='{PART_TIME}'""",
tgtc_business_rule,classification (job level),employment:contract,230,postings,4300,5.3%,ai_employment_type (provider) or description_text,provider label or job text,"Software Developer – Integration API —Insurance & Annuity Domain @ Cyma Systems Inc: ""provider employment_type=['CONTRACTOR']; raw_employment_type='{CONTRACTOR}'"" || Window and Door replacement installer @ C&D Home Solutions: ""provider employment_type=['CONTRACTOR']; raw_employment_type='{CONTRACTOR}'"" || FAST API Integration Engineer — Insurance & Annuity Domain @ Cyma Systems Inc: ""provider employment_type=['CONTRACTOR']; raw_employment_type='{CONTRACTOR}'"" || Acquisition Specialist - State Farm Agent Team Member @ David Francesangelo State Farm: ""Compensation Guaranteed Base Rate + Monthly Sales Commissions Expected annual earnings: $45,500 – $84,000+ depending on "" || Freelance Quality Engineer Buffalo / Type of contract 1099 RKBUSE26 @ SSI SCHÄFER: ""y process risks and improvement opportunities Job Type: 1099 Contractor Project Duration: TBD Note: This is a 1099 contr""",
tgtc_business_rule,classification (job level),seniority:leadership_or_principal,204,postings,4300,4.7%,title (+ 'the role is a director...' in description_text),job title,"Director, Customer Intelligence & Performance @ Moody's Corporation: ""Director, Customer Intelligence & Performance"" || Vice President Anesthesia Operations @ HCA Healthcare: ""Vice President Anesthesia Operations"" || Data Engineering Lead - Senior Vice President @ iCapital: ""Data Engineering Lead - Senior Vice President"" || Sr. Staff Backend Engineer @ Coupang: ""Sr. Staff Backend Engineer"" || Head of Product Marketing @ Everseen: ""Head of Product Marketing""",
